experiment,device,model,baseline_ram_mb,post_load_ram_mb,model_ram_delta_mb,peak_inference_ram_mb,avg_inference_ram_mb,peak_inference_cpu_pct,avg_inference_cpu_pct,baseline_swap_mb,peak_swap_mb,swap_active,load_time_s,avg_inference_s,post_unload_ram_mb,ram_leaked_mb,system_total_ram_mb,ram_utilization_pct
E5,device1,tinyllama,657.7,1337.6,679.9,1360.3,1339.8,54.2,46.7,281.4,270.9,False,6.76,7.8792,676.1,18.4,7785.0,17.5
E5,device1,tinyllama-q5,676.1,675.7,-0.5,675.7,675.7,4.1,4.1,270.9,270.9,False,0.0,0.0052,673.3,-2.8,7785.0,8.7
E5,device1,tinyllama-q8,677.5,677.5,0.0,677.5,677.5,3.3,3.3,270.9,270.9,False,0.01,0.0039,677.5,0.0,7785.0,8.7
E5,device1,phi3:mini,675.3,4304.5,3629.3,4306.3,3476.8,52.8,47.4,270.9,264.7,False,18.75,25.6935,687.2,11.9,7785.0,55.3
E5,device1,phi3-q5,687.4,687.4,0.0,687.4,687.4,2.5,2.5,264.7,264.7,False,0.0,0.0031,686.5,-0.9,7785.0,8.8
E5,device1,phi3-q8,686.5,686.5,-0.0,686.5,686.5,3.3,3.3,264.7,264.7,False,0.01,0.0034,686.8,0.2,7785.0,8.8
E5,device1,qwen2.5:3b,687.9,2728.6,2040.7,2735.4,2661.2,68.6,44.9,264.7,278.1,True,5.64,21.5138,732.0,44.1,7785.0,35.1
E5,device1,qwen-q5,732.0,732.0,0.0,732.0,732.0,1.7,1.7,278.1,278.1,False,0.01,0.0031,732.1,0.0,7785.0,9.4
E5,device1,qwen-q8,732.1,732.1,0.0,732.1,732.1,1.7,1.7,278.1,278.1,False,0.0,0.0039,732.1,0.0,7785.0,9.4
E5,device1,mistral:7b,731.7,5404.3,4672.6,5407.2,5004.0,58.0,47.3,278.1,299.4,True,47.91,40.3084,702.0,-29.7,7785.0,69.5
E5,device1,mistral-q5,702.8,702.8,0.0,702.8,702.8,4.2,4.2,299.4,299.4,False,0.01,0.0067,702.6,-0.2,7785.0,9.0
E5,device1,mistral-q8,700.4,703.6,3.2,703.6,703.6,3.3,3.3,299.4,299.4,False,0.01,0.0047,703.4,3.0,7785.0,9.0
